ID,Timestamp,Datetime (UTC),Open,high,low,Close,RSI,Overnight
1,1521410400,18-Mar-18 22:00," 1,313.17 "," 1,314.39 "," 1,310.13 "," 1,311.68 ",35.00179428,0
2,1521424800,19-Mar-18 02:00," 1,311.69 "," 1,312.61 "," 1,308.74 "," 1,309.89 ",32.80168454,0
3,1521439200,19-Mar-18 06:00," 1,309.90 "," 1,312.00 "," 1,307.75 "," 1,311.49 ",36.70338376,0
4,1521453600,19-Mar-18 10:00," 1,311.46 "," 1,314.17 "," 1,309.25 "," 1,313.40 ",40.98232554,0
5,1521468000,19-Mar-18 14:00," 1,313.38 "," 1,319.60 "," 1,311.70 "," 1,317.92 ",49.83275755,0
6,1521482400,19-Mar-18 18:00," 1,317.92 "," 1,318.55 "," 1,316.29 "," 1,316.85 ",47.42469047,1
7,1521496800,19-Mar-18 22:00," 1,316.57 "," 1,318.24 "," 1,315.59 "," 1,316.15 ",46.7322595,0
8,1521511200,20-Mar-18 02:00," 1,316.14 "," 1,317.32 "," 1,314.64 "," 1,315.26 ",45.42568096,0
9,1521525600,20-Mar-18 06:00," 1,315.25 "," 1,316.91 "," 1,312.80 "," 1,313.15 ",41.6317239,0
10,1521540000,20-Mar-18 10:00," 1,313.15 "," 1,313.50 "," 1,308.11 "," 1,309.57 ",36.4725087,0
11,1521554400,20-Mar-18 14:00," 1,309.57 "," 1,313.23 "," 1,307.17 "," 1,312.21 ",42.41797999,0
12,1521568800,20-Mar-18 18:00," 1,312.26 "," 1,312.59 "," 1,309.36 "," 1,311.09 ",40.50816762,1
13,1521583200,20-Mar-18 22:00," 1,310.68 "," 1,313.27 "," 1,309.81 "," 1,313.22 ",45.12148426,0
14,1521597600,21-Mar-18 02:00," 1,313.22 "," 1,314.51 "," 1,312.74 "," 1,313.17 ",45.00403722,0
15,1521612000,21-Mar-18 06:00," 1,313.16 "," 1,317.84 "," 1,312.89 "," 1,316.60 ",51.68139587,0
16,1521626400,21-Mar-18 10:00," 1,316.61 "," 1,323.49 "," 1,314.00 "," 1,320.49 ",57.95067221,0
17,1521640800,21-Mar-18 14:00," 1,320.45 "," 1,326.57 "," 1,318.29 "," 1,323.44 ",62.23518287,0
18,1521655200,21-Mar-18 18:00," 1,323.44 "," 1,336.60 "," 1,319.12 "," 1,332.00 ",70.5880085,1
19,1521669600,21-Mar-18 22:00," 1,331.69 "," 1,334.86 "," 1,330.21 "," 1,330.86 ",68.32465188,0
20,1521684000,22-Mar-18 02:00," 1,330.87 "," 1,331.27 "," 1,327.42 "," 1,328.12 ",63.20081445,0
21,1521698400,22-Mar-18 06:00," 1,328.12 "," 1,333.84 "," 1,327.71 "," 1,328.92 ",64.07025813,0
22,1521712800,22-Mar-18 10:00," 1,328.92 "," 1,332.59 "," 1,327.44 "," 1,330.02 ",65.19873611,0
23,1521727200,22-Mar-18 14:00," 1,330.01 "," 1,332.20 "," 1,324.78 "," 1,326.80 ",58.96932441,0
24,1521741600,22-Mar-18 18:00," 1,326.82 "," 1,330.20 "," 1,326.19 "," 1,328.88 ",61.59095461,1
25,1521756000,22-Mar-18 22:00," 1,329.15 "," 1,339.11 "," 1,328.95 "," 1,337.58 ",70.03227101,0
26,1521770400,23-Mar-18 02:00," 1,337.58 "," 1,339.12 "," 1,336.56 "," 1,338.26 ",70.48760545,0
27,1521784800,23-Mar-18 06:00," 1,338.25 "," 1,343.19 "," 1,338.03 "," 1,342.28 ",73.5614326,0
